"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","ContractWeb API","2","All Endpoints","128","0","","0"
"0","ContractWeb API","1","ClassificacaoColaborador","0","0","PUT /api/v1/classificacao-colaborador/{id}","0"
"0","ContractWeb API","1","ClassificacaoColaborador","0","0","DELETE /api/v1/classificacao-colaborador/{id}","0"
"0","ContractWeb API","0","Contratada","1","0","GET /api/v1/contratada","0"
"0","ContractWeb API","0","AmostragemGrupoArea","1","0","GET /api/v1/amostragem-grupo-area","0"
"0","ContractWeb API","0","Contratada","1","0","GET /api/v1/contratada/{id}","0"
"0","ContractWeb API","1","Avisos","0","0","GET /api/v1/avisos/meus-avisos","0"
"0","ContractWeb API","1","Area","0","0","PUT /api/v1/area/{id}","0"
"0","ContractWeb API","0","Avisos","0","1","DELETE /api/v1/avisos/{id}","0"
"0","ContractWeb API","1","Contratada","0","0","POST /api/v1/contratada","0"
"0","ContractWeb API","0","ContratadaContrato","0","1","GET /api/v1/contratada-contrato","0"
"0","ContractWeb API","0","Area","1","0","GET /api/v1/area/{id}","0"
"0","ContractWeb API","1","Contratada","0","0","PUT /api/v1/contratada/{id}","0"
"0","ContractWeb API","1","Contratante","0","0","GET /api/v1/contratante/{id}/grupo-area","0"
"0","ContractWeb API","0","Contrato","1","0","GET /api/v1/contrato","0"
"0","ContractWeb API","1","Contratante","0","0","DELETE /api/v1/contratante/{id}","0"
"0","ContractWeb API","0","ContratadaContrato","0","1","PUT /api/v1/contratada-contrato/{id}","0"
"0","ContractWeb API","0","AmostragemGrupoArea","1","0","GET /api/v1/amostragem-grupo-area/{id}","0"
"0","ContractWeb API","0","Avisos","0","1","GET /api/v1/avisos","0"
"0","ContractWeb API","1","Contratada","0","0","DELETE /api/v1/contratada/{id}","0"
"0","ContractWeb API","1","Contratante","0","0","GET /api/v1/contratante/{id}/grupo-area/{grupo-area-id}","0"
"0","ContractWeb API","1","Contrato","0","0","GET /api/v1/contrato/{id}/contratada/{contratada_id}/operadores","0"
"0","ContractWeb API","0","AmostragemGrupoArea","1","0","DELETE /api/v1/amostragem-grupo-area/{id}","0"
"0","ContractWeb API","0","ClassificacaoColaborador","1","0","GET /api/v1/classificacao-colaborador/{id}","0"
"0","ContractWeb API","1","Contratada","0","0","PATCH /api/v1/contratada/{id}","0"
"0","ContractWeb API","0","Avisos","0","1","PUT /api/v1/avisos/{id}","0"
"0","ContractWeb API","0","Area","1","0","GET /api/v1/area","0"
"0","ContractWeb API","1","Area","0","0","DELETE /api/v1/area/{id}","0"
"0","ContractWeb API","0","ClassificacaoColaborador","1","0","GET /api/v1/classificacao-colaborador","0"
"0","ContractWeb API","1","Events","0","0","POST /api/v1/events/pre-process-status/{type}","0"
"0","ContractWeb API","1","Contratante","0","0","PUT /api/v1/contratante/{id}/grupo-area","0"
"0","ContractWeb API","1","AmostragemGrupoArea","0","0","PUT /api/v1/amostragem-grupo-area/{id}","0"
"0","ContractWeb API","1","Contratante","0","0","GET /api/v1/contratante/{id}/familia","0"
"0","ContractWeb API","1","ContratadaContrato","0","0","POST /api/v1/contratada-contrato","0"
"0","ContractWeb API","0","Contratante","1","0","GET /api/v1/contratante/{id}","0"
"0","","0","Authentication","1","0","","0"
"0","ContractWeb API","1","Contratante","0","0","PUT /api/v1/contratante/{id}","0"
"0","ContractWeb API","1","Contratante","0","0","PUT /api/v1/contratante/{id}/familia","0"
"0","ContractWeb API","1","Contrato","0","0","PUT /api/v1/contrato/{id}","0"
"0","ContractWeb API","0","Contratante","1","0","GET /api/v1/contratante","0"
"0","ContractWeb API","1","Avisos","0","0","POST /api/v1/avisos","0"
"0","ContractWeb API","0","Avisos","0","1","GET /api/v1/avisos/{id}","0"
"0","ContractWeb API","0","Contrato","1","0","GET /api/v1/contrato/{id}","0"
"0","ContractWeb API","1","Area","0","0","POST /api/v1/area","0"
"0","ContractWeb API","0","ClassificacaoColaborador","1","0","POST /api/v1/classificacao-colaborador","0"
"0","ContractWeb API","1","Contrato","0","0","DELETE /api/v1/contrato/{id}","0"
"0","ContractWeb API","1","Contrato","0","0","POST /api/v1/contrato","0"
"0","ContractWeb API","1","Events","0","0","POST /api/v1/events/{type}","0"
"0","ContractWeb API","1","Contratante","0","0","POST /api/v1/contratante","0"
"0","ContractWeb API","0","ContratadaContrato","0","1","GET /api/v1/contratada-contrato/{id}","0"
"0","ContractWeb API","0","ContratadaContrato","0","1","DELETE /api/v1/contratada-contrato/{id}","0"
"0","ContractWeb API","1","AmostragemGrupoArea","0","0","POST /api/v1/amostragem-grupo-area","0"
